
2025,12,1000
2025,14,1001
2025,13,1002
2025,11,1003
2025,9,9000
2025,13,9001
2025,17,1004
2025,16,1005
2025,13,9002
2025,14,9003
2025,13,9004
2025,10,9005
2025,18,1006
2025,14,9006
2025,19,9007
2025,11,1007
2025,17,9008
2025,18,1008
2025,13,1009
2025,15,9009
2025,19,1010
2025,14,1011
2025,16,1012
2025,19,9010
2025,15,9011
2025,19,9012
2025,15,1013
2025,14,1014
2025,11,9013
2025,18,9014
2025,17,9015
2025,19,1015
2025,20,1016
2025,15,9016
2025,10,9017
2025,18,9018
2025,13,9019
2025,17,9020
2025,10,1017
2025,17,9021
2025,9,1018
2025,8,1019
2025,9,9022
2025,6,9023
2025,10,9024
2025,15,1020
2025,6,1021
2025,7,1022
2025,12,1023
2025,19,1024
2024,11,1000
2024,13,1001
2024,12,1002
2024,10,1003
2024,6,9000
2024,14,9001
2024,17,1004
2024,15,1005
2024,12,9002
2024,0,9003
2024,14,9004
2024,8,9005
2024,17,1006
2024,11,9006
2024,18,9007
2024,9,1007
2024,16,9008
2024,15,1008
2024,0,1009
2024,14,9009
2024,18,1010
2024,11,1011
2024,15,1012
2024,18,9010
2024,15,9011
2024,18,9012
2024,13,1013
2024,11,1014
2024,7,9013
2024,17,9014
2024,16,9015
2024,18,1015
2024,19,1016
2024,14,9016
2024,0,9017
2024,17,9018
2024,11,9019
2024,16,9020
2024,0,1017
2024,15,9021
2024,0,1018
2024,0,1019
2024,0,9022
2024,0,9023
2024,0,9024
2024,14,1020
2024,0,1021
2024,0,1022
2024,11,1023
2024,18,1024
